Freq [GHz],Re(Y11) [S],Re(Y22) [S],Re(Y11) load-only [S]
3.79,0.009999999999999998,0.009999999999999998,0.04
3.799,0.010000000000000004,0.009999999999999998,0.04
3.808,0.009999999999999997,0.009999999999999998,0.039999999999999994
3.817,0.009999999999999998,0.01,0.04000000000000001
3.826,0.009999999999999995,0.01,0.04
3.835,0.010000000000000002,0.009999999999999998,0.04000000000000001
3.844,0.009999999999999998,0.01,0.04
3.853,0.01,0.010000000000000002,0.04000000000000001
3.862,0.009999999999999993,0.009999999999999998,0.04
3.871,0.009999999999999997,0.010000000000000002,0.04
3.88,0.009999999999999997,0.01,0.04
3.889,0.01,0.01,0.04
3.898,0.009999999999999997,0.009999999999999998,0.039999999999999994
3.907,0.009999999999999993,0.01,0.039999999999999994
3.916,0.01,0.01,0.04
3.925,0.010000000000000004,0.009999999999999998,0.04
3.934,0.01,0.010000000000000002,0.04000000000000001
3.943,0.01,0.01,0.04
3.952,0.01,0.01,0.04
3.961,0.009999999999999998,0.009999999999999998,0.039999999999999994
3.97,0.010000000000000004,0.010000000000000002,0.04000000000000001
3.979,0.010000000000000005,0.009999999999999997,0.039999999999999994
3.988,0.009999999999999998,0.01,0.04
3.997,0.009999999999999998,0.009999999999999997,0.03999999999999999
4.006,0.009999999999999997,0.01,0.04
4.015,0.009999999999999997,0.009999999999999997,0.03999999999999999
4.024,0.009999999999999998,0.010000000000000002,0.040000000000000015
4.033,0.009999999999999998,0.009999999999999998,0.039999999999999994
4.042,0.010000000000000002,0.010000000000000002,0.04000000000000001
4.051,0.009999999999999998,0.01,0.04
4.06,0.010000000000000005,0.009999999999999998,0.04
4.069,0.009999999999999993,0.01,0.039999999999999994
4.078,0.01,0.01,0.04
4.087,0.009999999999999993,0.01,0.04
4.096,0.010000000000000004,0.009999999999999997,0.039999999999999994
4.105,0.010000000000000004,0.009999999999999998,0.039999999999999994
4.114,0.009999999999999998,0.009999999999999998,0.039999999999999994
4.123,0.01,0.01,0.04
4.132,0.009999999999999997,0.010000000000000002,0.04
4.141,0.009999999999999998,0.01,0.04
4.15,0.010000000000000004,0.009999999999999998,0.04
4.159,0.009999999999999997,0.01,0.04
4.168,0.009999999999999998,0.009999999999999998,0.039999999999999994
4.177,0.01,0.01,0.04
4.186,0.009999999999999997,0.010000000000000002,0.039999999999999994
4.195,0.009999999999999998,0.010000000000000002,0.04000000000000001
4.204,0.009999999999999998,0.01,0.04
4.213,0.01,0.01,0.04
4.222,0.009999999999999997,0.010000000000000002,0.04
4.231,0.01,0.010000000000000004,0.04000000000000001
4.24,0.009999999999999998,0.009999999999999998,0.039999999999999994
4.249,0.010000000000000004,0.009999999999999998,0.04
4.258,0.009999999999999997,0.010000000000000002,0.04
4.267,0.009999999999999997,0.010000000000000002,0.04000000000000001
4.276,0.009999999999999998,0.01,0.04
4.285,0.010000000000000004,0.010000000000000002,0.04000000000000001
4.294,0.009999999999999998,0.01,0.04
4.303,0.009999999999999997,0.009999999999999998,0.039999999999999994
4.312,0.009999999999999998,0.01,0.04
4.321,0.01,0.01,0.04
4.33,0.009999999999999997,0.01,0.04
4.339,0.009999999999999998,0.009999999999999998,0.039999999999999994
4.348,0.009999999999999997,0.01,0.04
4.357,0.009999999999999997,0.009999999999999998,0.039999999999999994
4.366,0.009999999999999998,0.01,0.04
4.375,0.009999999999999997,0.01,0.04
4.384,0.010000000000000002,0.010000000000000002,0.04000000000000001
4.393,0.009999999999999997,0.009999999999999997,0.039999999999999994
4.402,0.01,0.010000000000000002,0.04000000000000001
4.411,0.009999999999999997,0.009999999999999997,0.039999999999999994
4.42,0.010000000000000004,0.009999999999999998,0.04
4.429,0.009999999999999998,0.01,0.04
4.438,0.009999999999999998,0.01,0.04
4.447,0.01,0.01,0.04
4.456,0.010000000000000005,0.010000000000000004,0.040000000000000015
4.465,0.009999999999999998,0.01,0.04
4.474,0.010000000000000002,0.010000000000000002,0.04000000000000001
4.483,0.01,0.01,0.04
4.492,0.01,0.01,0.04
4.501,0.009999999999999998,0.009999999999999998,0.039999999999999994
4.51,0.009999999999999998,0.009999999999999998,0.039999999999999994
4.519,0.009999999999999998,0.01,0.04
4.528,0.01,0.01,0.04
4.537,0.009999999999999998,0.01,0.04
4.546,0.009999999999999997,0.009999999999999998,0.039999999999999994
4.555,0.009999999999999998,0.010000000000000002,0.04000000000000001
4.564,0.009999999999999998,0.009999999999999998,0.03999999999999999
4.573,0.009999999999999997,0.010000000000000002,0.04000000000000001
4.582,0.01,0.01,0.039999999999999994
