"Freq [GHz]","re(Yt(Diff1,Diff1)) []","im(Yt(Diff1,Diff1)) []","re(Yt(Comm1,Diff1)) []","im(Yt(Comm1,Diff1)) []","re(Yt(Diff1,Comm1)) []","im(Yt(Diff1,Comm1)) []","re(Yt(Comm1,Comm1)) []","im(Yt(Comm1,Comm1)) []"
4.3275,9.99875183296319E-10,4.91380114612726E-05,-1.89712870287751E-09,-1.12934508935247E-06,-1.89712870303272E-09,-1.12934508935236E-06,1.00488993277914E-08,0.00579272759245382
4.33,9.97847288798724E-10,5.25980954028937E-05,-1.89806971648867E-09,-1.13403202877376E-06,-1.89806971664761E-09,-1.13403202877392E-06,1.0054776732743E-08,0.00579615665839206
4.3325,9.95821298210186E-10,5.60564912060132E-05,-1.89901122379543E-09,-1.13872754158201E-06,-1.89901122429521E-09,-1.13872754158206E-06,1.00606542270676E-08,0.00579958587045437
4.335,9.93797228908603E-10,5.95132023488457E-05,-1.89995322435515E-09,-1.14343163801114E-06,-1.89995322441485E-09,-1.14343163801103E-06,1.00665317744053E-08,0.00580301522873446
4.3375,9.91775106966395E-10,6.29682323020807E-05,-1.90089571381992E-09,-1.14814432830716E-06,-1.9008957132541E-09,-1.14814432830754E-06,1.00724093718418E-08,0.00580644473332606
4.34,9.89754951719155E-10,6.6421584528911E-05,-1.90183869927079E-09,-1.15286562273297E-06,-1.90183869935509E-09,-1.15286562273278E-06,1.00782869999483E-08,0.00580987438432292
4.3425,9.87736784827345E-10,6.98732624850505E-05,-1.90278217332778E-09,-1.15759553156018E-06,-1.90278217319215E-09,-1.15759553156079E-06,1.00841646305527E-08,0.00581330418181884
4.345,9.85720627543361E-10,7.33232696187572E-05,-1.90372614025978E-09,-1.16233406507755E-06,-1.90372614015143E-09,-1.16233406507747E-06,1.00900422463079E-08,0.00581673412590759
4.3475,9.83706496265964E-10,7.6771609370856E-05,-1.90467059985522E-09,-1.16708123358509E-06,-1.90467059982409E-09,-1.16708123358516E-06,1.00959198262585E-08,0.00582016421668304
4.35,9.81694414188745E-10,8.02182851747571E-05,-1.90561555773236E-09,-1.17183704739827E-06,-1.9056155577203E-09,-1.17183704739838E-06,1.01017973536122E-08,0.00582359445423903
4.3525,9.79684397785344E-10,8.36633004564821E-05,-1.90656100785118E-09,-1.17660151684428E-06,-1.90656100796464E-09,-1.17660151684425E-06,1.01076748079687E-08,0.00582702483866944
4.355,9.77676468355522E-10,8.71066586346818E-05,-1.90750696384439E-09,-1.1813746522647E-06,-1.90750696379926E-09,-1.1813746522651E-06,1.01135521785034E-08,0.00583045537006818
4.3575,9.75670643390983E-10,9.05483631206614E-05,-1.9084534173664E-09,-1.18615646401586E-06,-1.90845341721285E-09,-1.18615646401574E-06,1.01194294387097E-08,0.00583388604852919
4.36,9.73666939151237E-10,9.39884173183964E-05,-1.90940038500237E-09,-1.19094696246674E-06,-1.90940038488369E-09,-1.19094696246666E-06,1.01253065737383E-08,0.00583731687414642
4.3625,9.71665374638553E-10,9.74268246245601E-05,-1.91034785842964E-09,-1.19574615800022E-06,-1.91034785838237E-09,-1.19574615800029E-06,1.0131183571932E-08,0.00584074784701385
4.365,9.6966596678722E-10,0.000100863588428542,-1.91129585141021E-09,-1.20055406101424E-06,-1.91129585098744E-09,-1.20055406101417E-06,1.01370604080331E-08,0.00584417896722549
4.3675,9.67668727782994E-10,0.000104298712112467,-1.91224436514423E-09,-1.2053706819189E-06,-1.91224436523018E-09,-1.20537068191888E-06,1.01429370671924E-08,0.00584761023487538
4.37,9.65673678913912E-10,0.000107732199051221,-1.91319340219648E-09,-1.21019603113984E-06,-1.91319340244527E-09,-1.2101960311398E-06,1.01488135367811E-08,0.00585104165005755
4.3725,9.63680835048316E-10,0.000111164052612466,-1.91414297402783E-09,-1.21503011911537E-06,-1.91414297431568E-09,-1.21503011911561E-06,1.0154689803199E-08,0.00585447321286609
4.375,9.61690210012631E-10,0.000114594276156669,-1.91509308511146E-09,-1.21987295630062E-06,-1.91509308544898E-09,-1.21987295630093E-06,1.01605658497927E-08,0.00585790492339511
4.3775,9.59701819791927E-10,0.000118022873037116,-1.91604374294201E-09,-1.22472455316206E-06,-1.91604374313842E-09,-1.22472455316211E-06,1.01664416619907E-08,0.00586133678173871
4.38,9.57715676209699E-10,0.000121449846599936,-1.91699495522688E-09,-1.2295849201815E-06,-1.91699495503684E-09,-1.22958492018134E-06,1.01723172275803E-08,0.00586476878799106
4.3825,9.55731796115262E-10,0.00012487520018412,-1.91794672693544E-09,-1.23445406785435E-06,-1.91794672686059E-09,-1.23445406785456E-06,1.01781925333777E-08,0.00586820094224631
4.385,9.53750189880366E-10,0.000128298937121543,-1.91889906704888E-09,-1.23933200669164E-06,-1.91889906700026E-09,-1.23933200669179E-06,1.01840675645337E-08,0.00587163324459865
4.3875,9.51770873255215E-10,0.000131721060736987,-1.9198519888501E-09,-1.24421874721816E-06,-1.91985198897359E-09,-1.24421874721847E-06,1.01899423109175E-08,0.00587506569514231
4.39,9.49793857492744E-10,0.000135141574348155,-1.92080549327066E-09,-1.24911429997296E-06,-1.92080549322001E-09,-1.24911429997289E-06,1.01958167623983E-08,0.00587849829397152
4.3925,9.47819155997485E-10,0.0001385604812657,-1.92175959591032E-09,-1.25401867550895E-06,-1.92175959610605E-09,-1.25401867550897E-06,1.02016909156455E-08,0.00588193104118053
4.395,9.45846778314214E-10,0.000141977784793235,-1.92271430665071E-09,-1.25893188439488E-06,-1.92271430644878E-09,-1.25893188439474E-06,1.02075647497035E-08,0.00588536393686362
4.3975,9.43876737718172E-10,0.000145393488227365,-1.92366963056731E-09,-1.26385393721364E-06,-1.92366963088454E-09,-1.26385393721369E-06,1.02134382613805E-08,0.0058887969811151
4.4,9.41909046687714E-10,0.000148807594857699,-1.92462558137224E-09,-1.26878484456158E-06,-1.92462558141293E-09,-1.26878484456163E-06,1.02193114476234E-08,0.00589223017402928
4.4025,9.3994371337875E-10,0.000152220107966872,-1.92558217244829E-09,-1.27372461705126E-06,-1.92558217267834E-09,-1.27372461705139E-06,1.02251842920564E-08,0.00589566351570051
4.405,9.37980747540155E-10,0.000155631030830567,-1.92653941075028E-09,-1.27867326530921E-06,-1.92653941058894E-09,-1.27867326530948E-06,1.02310567896835E-08,0.00589909700622315
4.4075,9.36020160714887E-10,0.000159040366717533,-1.92749730720494E-09,-1.2836307999765E-06,-1.92749730742628E-09,-1.28363079997653E-06,1.02369289439741E-08,0.0059025306456916
4.41,9.34061962552346E-10,0.000162448118889607,-1.92845587859994E-09,-1.28859723170937E-06,-1.92845587880329E-09,-1.28859723170918E-06,1.02428007427158E-08,0.00590596443420024
4.4125,9.32106161521777E-10,0.000165854290601733,-1.92941513462565E-09,-1.29357257117836E-06,-1.92941513467732E-09,-1.29357257117849E-06,1.02486721841044E-08,0.00590939837184351
4.415,9.30152766673016E-10,0.000169258885101982,-1.93037508831605E-09,-1.29855682906989E-06,-1.93037508813932E-09,-1.29855682907012E-06,1.02545432666135E-08,0.00591283245871586
4.4175,9.28201784914057E-10,0.000172661905631568,-1.93133574928106E-09,-1.30355001608356E-06,-1.93133574962993E-09,-1.30355001608338E-06,1.02604139863571E-08,0.00591626669491175
4.42,9.26253226436942E-10,0.000176063355424877,-1.93229713575655E-09,-1.30855214293531E-06,-1.93229713546351E-09,-1.30855214293534E-06,1.02662843400048E-08,0.00591970108052567
4.4225,9.24307097555522E-10,0.000179463237709476,-1.93325925845902E-09,-1.3135632203554E-06,-1.93325925860519E-09,-1.31356322035546E-06,1.02721543306095E-08,0.00592313561565211
4.425,9.22363405444506E-10,0.000182861555706141,-1.93422213038121E-09,-1.31858325908919E-06,-1.93422213014404E-09,-1.31858325908942E-06,1.02780239560896E-08,0.00592657030038562
4.4275,9.2042215799038E-10,0.000186258312628872,-1.93518576766374E-09,-1.32361226989748E-06,-1.93518576770541E-09,-1.32361226989762E-06,1.02838932262983E-08,0.00593000513482073
4.43,9.1848336252723E-10,0.000189653511684911,-1.93615018343114E-09,-1.32865026355598E-06,-1.93615018289107E-09,-1.32865026355617E-06,1.02897621351294E-08,0.005933440119052
4.4325,9.16547022554318E-10,0.00019304715607477,-1.93711539087588E-09,-1.33369725085426E-06,-1.93711539108236E-09,-1.33369725085457E-06,1.02956306882729E-08,0.00593687525317402
4.435,9.14613147001133E-10,0.000196439248992238,-1.93808140823707E-09,-1.33875324259937E-06,-1.93808140831767E-09,-1.33875324259906E-06,1.03014988922512E-08,0.00594031053728139
4.4375,9.12681739144677E-10,0.000199829793624412,-1.93904824622095E-09,-1.34381824960997E-06,-1.93904824570578E-09,-1.34381824961003E-06,1.03073667487297E-08,0.00594374597146874
4.44,9.10752805694535E-10,0.000203218793151706,-1.94001592671563E-09,-1.34889228272441E-06,-1.94001592675222E-09,-1.3488922827244E-06,1.03132342631207E-08,0.00594718155583069
4.4425,9.08826352258741E-10,0.000206606250747879,-1.94098445772424E-09,-1.35397535279303E-06,-1.94098445719162E-09,-1.3539753527931E-06,1.03191014519388E-08,0.00595061729046191
