"Freq [GHz]","re(Yt(Signal9_1_T1,Signal9_1_T1)) []","im(Yt(Signal9_1_T1,Signal9_1_T1)) []"
4.16,8.78939316353851E-10,-0.000194334064041076
4.1625,8.80192455670145E-10,-0.000190701571340881
4.165,8.81443740213662E-10,-0.000187071280325114
4.1675,8.82693063236431E-10,-0.00018344318694102
4.17,8.83940339906462E-10,-0.000179817287145506
4.1725,8.85185477370543E-10,-0.000176193576905103
4.175,8.86428394662856E-10,-0.000172572052195943
4.1775,8.87669023640778E-10,-0.000168952709003732
4.18,8.8890728655489E-10,-0.000165335543323712
4.1825,8.90143130090285E-10,-0.000161720551160645
4.185,8.91376496120276E-10,-0.000158107728528772
4.1875,8.92607334408206E-10,-0.000154497071451797
4.19,8.93835606562538E-10,-0.00015088857596285
4.1925,8.95061271920363E-10,-0.000147282238104462
4.195,8.96284301252819E-10,-0.000143678053928536
4.1975,8.97504672520187E-10,-0.000140076019496322
4.2,8.98722366591146E-10,-0.000136476130878387
4.2025,8.9993737175846E-10,-0.000132878384154587
4.205,9.01149684828596E-10,-0.00012928277541404
4.2075,9.02359306565617E-10,-0.000125689300755098
4.21,9.0356624033918E-10,-0.000122097956285322
4.2125,9.04770501924839E-10,-0.000118508738121453
4.215,9.05972109083412E-10,-0.000114921642389382
4.2175,9.07171087789168E-10,-0.000111336665224128
4.22,9.08367466153243E-10,-0.000107753802769809
4.2225,9.09561284882026E-10,-0.000104173051179614
4.225,9.10752581060807E-10,-0.000100594406615778
4.2275,9.11941409572493E-10,-9.70178652495534E-05
4.23,9.13127818903079E-10,-9.34434232611855E-05
4.2325,9.14311872408833E-10,-8.9871076839884E-05
4.235,9.15493630614979E-10,-8.63008221837987E-05
4.2375,9.16673170113217E-10,-8.27326554999912E-05
4.24,9.17850561254059E-10,-7.91665730044099E-05
4.2425,9.19025892423856E-10,-7.56025709218628E-05
4.245,9.20199247565728E-10,-7.20406454859948E-05
4.2475,9.21370719226418E-10,-6.84807929392558E-05
4.25,9.22540406999061E-10,-6.49230095328803E-05
4.2525,9.2370841039832E-10,-6.13672915268591E-05
4.255,9.2487483828645E-10,-5.78136351899142E-05
4.2575,9.26039809337293E-10,-5.42620367994737E-05
4.26,9.27203438001261E-10,-5.07124926416456E-05
4.2625,9.28365850363508E-10,-4.71649990111914E-05
4.265,9.29527171043627E-10,-4.36195522115034E-05
4.2675,9.30687535569533E-10,-4.0076148554579E-05
4.27,9.31847081588896E-10,-3.65347843609923E-05
4.2725,9.33005952185794E-10,-3.29954559598738E-05
4.275,9.34164292491524E-10,-2.94581596888811E-05
4.2775,9.35322253966862E-10,-2.59228918941777E-05
4.28,9.36479996401239E-10,-2.23896489304069E-05
4.2825,9.37637676516017E-10,-1.88584271606656E-05
4.285,9.38795460906643E-10,-1.53292229564815E-05
4.2875,9.39953515602661E-10,-1.18020326977881E-05
4.29,9.41112014426818E-10,-8.27685277289975E-06
4.2925,9.42271133953874E-10,-4.75367957848905E-06
4.295,9.4343105728256E-10,-1.23250951956115E-06
4.2975,9.44591963297817E-10,2.28666099057116E-06
4.3,9.4575404028462E-10,5.80383553031013E-06
4.3025,9.46917481707088E-10,9.319017669797E-06
4.305,9.48082479693407E-10,1.28322109709369E-05
4.3075,9.49249235102396E-10,1.63434189874222E-05
4.31,9.5041794309373E-10,1.98526452647559E-05
4.3125,9.51588808599975E-10,2.33598933402764E-05
4.315,9.52762041753149E-10,2.6865166743178E-05
4.3175,9.53937846557911E-10,3.03684689945399E-05
4.32,9.5511643949547E-10,3.38698036073446E-05
4.3225,9.56298028070539E-10,3.73691740865037E-05
4.325,9.57482831488628E-10,4.08665839288799E-05
4.3275,9.58671070168642E-10,4.43620366233109E-05
4.33,9.59862961844948E-10,4.78555356506339E-05
4.3325,9.61058726502216E-10,5.13470844837052E-05
4.335,9.62258590095424E-10,5.48366865874276E-05
4.3375,9.63462777155125E-10,5.83243454187669E-05
4.34,9.64671514347007E-10,6.18100644267826E-05
4.3425,9.65885027379081E-10,6.5293847052645E-05
4.345,9.67103545572462E-10,6.8775696729659E-05
4.3475,9.68327299701701E-10,7.22556168832886E-05
4.35,9.69556515359253E-10,7.57336109311758E-05
4.3525,9.707914250721E-10,7.92096822831676E-05
4.355,9.72032259321733E-10,8.26838343413337E-05
4.3575,9.73279245206705E-10,8.61560704999934E-05
4.36,9.74532612878171E-10,8.96263941457326E-05
4.3625,9.75792594059579E-10,9.30948086574309E-05
4.365,9.77059417241717E-10,9.65613174062806E-05
4.3675,9.78333309429723E-10,0.00010002592375581
4.37,9.79614496723554E-10,0.000103488631061905
4.3725,9.80903207097463E-10,0.00010694944267283
4.375,9.82199659699863E-10,0.00011040836192925
4.3775,9.83504081923769E-10,0.000113865392164255
4.38,9.84816691967808E-10,0.000117320536703379
4.3825,9.86137710237685E-10,0.000120773798864619
4.385,9.87467346165006E-10,0.000124225181958462
4.3875,9.88805818355296E-10,0.000127674689287906
4.39,9.90153335802413E-10,0.000131122324148474
4.3925,9.9151010343436E-10,0.000134568089828245
4.395,9.92876327626754E-10,0.00013801198960787
4.3975,9.94252204979732E-10,0.000141454026760591
4.4,9.95637934339367E-10,0.000144894204552269
4.4025,9.97033703273219E-10,0.0001483325262414
4.405,9.98439703298787E-10,0.000151768995079135
4.4075,9.998561139756E-10,0.000155203614309306
4.41,1.00128311470063E-09,0.00015863638716844
4.4125,1.00272087089676E-09,0.000162067316885789
4.415,1.00416955680607E-09,0.000165496406683341
4.4175,1.00562933268537E-09,0.000168923659775845
4.42,1.00710034632601E-09,0.000172349079370834
4.4225,1.00858275345206E-09,0.000175772668668643
4.425,1.01007668809686E-09,0.000179194430862426
4.4275,1.01158228945128E-09,0.000182614369138186
4.43,1.01309968440684E-09,0.000186032486674783
4.4325,1.01462899315062E-09,0.000189448786643964
4.435,1.0161703237776E-09,0.00019286327221038
4.4375,1.01772378117102E-09,0.000196275946531606
4.44,1.01928946369831E-09,0.00019968681275816
4.4425,1.02086745417402E-09,0.000203095874033526
4.445,1.02245783418626E-09,0.000206503133494169
4.4475,1.02406066725212E-09,0.000209908594269564
4.45,1.02567601298261E-09,0.000213312259482204
4.4525,1.02730392458774E-09,0.000216714132247629
4.455,1.02894443619863E-09,0.000220114215674444
4.4575,1.03059758030363E-09,0.000223512512864334
4.46,1.03226337054106E-09,0.000226909026912091
4.4625,1.03394181566317E-09,0.000230303760905626
4.465,1.03563291108933E-09,0.000233696717925995
4.4675,1.03733664272155E-09,0.000237087901047417
4.47,1.03905298294733E-09,0.000240477313337288
4.4725,1.0407818908943E-09,0.000243864957856211
4.475,1.04252331508589E-09,0.000247250837658001
4.4775,1.04427718903886E-09,0.000250634955789722
4.48,1.04604344051859E-09,0.000254017315291689
4.4825,1.04782197819449E-09,0.000257397919197498
4.485,1.04961269954853E-09,0.000260776770534045
4.4875,1.05141548647166E-09,0.000264153872321536
4.49,1.05323021073345E-09,0.000267529227573518
4.4925,1.05505673055209E-09,0.000270902839296889
4.495,1.0568948837951E-09,0.000274274710491923
4.4975,1.05874450449396E-09,0.000277644844152284
4.5,1.06060540250883E-09,0.000281013243265046
4.5025,1.06247738212779E-09,0.000284379910810718
4.505,1.06436022069301E-09,0.000287744849763252
4.5075,1.06625369797726E-09,0.000291108063090072
4.51,1.06815756265819E-09,0.000294469553752084
4.5125,1.07007155928623E-09,0.000297829324703703
4.515,1.07199541462221E-09,0.000301187378892864
4.5175,1.0739288369537E-09,0.000304543719261043
4.52,1.0758715241342E-09,0.000307898348743282
4.5225,1.07782315308804E-09,0.000311251270268194
4.525,1.07978339330246E-09,0.000314602486757998
4.5275,1.08175188948488E-09,0.00031795200112852
4.53,1.08372828174137E-09,0.000321299816289222
4.5325,1.08571219003215E-09,0.000324645935143222
4.535,1.08770321895397E-09,0.000327990360587305
4.5375,1.08970095558762E-09,0.000331333095511943
4.54,1.0917049770955E-09,0.000334674142801318
4.5425,1.093714845467E-09,0.00033801350533333
4.545,1.09573010033565E-09,0.000341351185979631
4.5475,1.09775027710422E-09,0.000344687187605624
4.55,1.09977489324718E-09,0.000348021513070493
4.5525,1.10180345337008E-09,0.000351354165227222
4.555,1.10383544056569E-09,0.000354685146922603
4.5575,1.10587033568157E-09,0.000358014460997262
4.56,1.10790759599488E-09,0.000361342110285675
4.5625,1.10994667380008E-09,0.00036466809761618
4.565,1.11198700224301E-09,0.000367992425811006
4.5675,1.11402800757778E-09,0.000371315097686276
4.57,1.11606910352423E-09,0.000374636116052041
4.5725,1.11810969013555E-09,0.000377955483712278
